word/phrase,rank,sub
items reach,0.5613099068547664,Wiper blade
courier service,0.5611239489219025,Wiper blade
seller item,0.5593606744859403,Wiper blade
fit satisfied,0.5583515025953268,Wiper blade
receive goods,0.5582540118020288,Wiper blade
fit rb,0.556121986870896,Wiper blade
rb,0.556121986870896,Wiper blade
shorter,0.5558671377745253,Wiper blade
advertised delivery,0.5544941926384279,Wiper blade
overall,0.554306744675418,Wiper blade
bought wrong,0.5532463330922371,Wiper blade
match,0.5524853239042495,Wiper blade
original packaging,0.5519084981745006,Wiper blade
importantly fast,0.5519084981745006,Wiper blade
delivery date,0.5519084981745006,Wiper blade
neat nice,0.5519084981745006,Wiper blade
packaging neat,0.5519084981745006,Wiper blade
date,0.5519084981745006,Wiper blade
nice importantly,0.5519084981745006,Wiper blade
neat,0.5519084981745006,Wiper blade
quality original,0.5519084981745006,Wiper blade
deliverygood,0.5510791546043715,Wiper blade
fast deliverygood,0.5510791546043715,Wiper blade
deliverygood quality,0.5510791546043715,Wiper blade
deliveredgood product,0.5504302030419179,Wiper blade
deliveredgood,0.5504302030419179,Wiper blade
fast deliveredgood,0.5504302030419179,Wiper blade
received expected,0.5498760624611603,Wiper blade
expected works,0.5498760624611603,Wiper blade
packing best,0.5493318037755446,Wiper blade
best tq,0.5493318037755446,Wiper blade
delivery goods,0.5491898578612322,Wiper blade
goods wrapped,0.5491898578612322,Wiper blade
ok bought,0.5489732244222931,Wiper blade
product ok,0.5489732244222931,Wiper blade
received delivery,0.5486462534672203,Wiper blade
received box,0.5472631244742174,Wiper blade
second,0.5472186133695117,Wiper blade
good use,0.5470356545501953,Wiper blade
bit slow,0.5469374366736919,Wiper blade
rubber blade,0.5462209885769793,Wiper blade
la,0.545215660589321,Wiper blade
item tq,0.5442692002589216,Wiper blade
satria,0.5437802917879353,Wiper blade
satria neo,0.5437802917879353,Wiper blade
nicely seller,0.5429699033013891,Wiper blade
wrap nicely,0.5429699033013891,Wiper blade
serviced,0.5400265696071552,Wiper blade
good serviced,0.5400265696071552,Wiper blade
delivery quickly,0.5396656692737274,Wiper blade
seller thanks,0.5381446563231328,Wiper blade
brg safe,0.5345314068053509,Wiper blade
product came,0.5319370579764073,Wiper blade
standard price,0.5301053376932519,Wiper blade
standard,0.5301053376932519,Wiper blade
worth price,0.5299990660976279,Wiper blade
legit,0.5283956258766576,Wiper blade
legit product,0.5283956258766576,Wiper blade
delivery legit,0.5283956258766576,Wiper blade
fastest,0.5273245169614803,Wiper blade
tem,0.5267639665375663,Wiper blade
received time,0.5267639665375663,Wiper blade
tem received,0.5267639665375663,Wiper blade
packaging secure,0.5254951436790566,Wiper blade
best packaging,0.5254951436790566,Wiper blade
secure,0.5254951436790566,Wiper blade
like ori,0.5244163387779137,Wiper blade
delivery like,0.5244163387779137,Wiper blade
best stuff,0.5242037632516412,Wiper blade
fit alza,0.5236718928362015,Wiper blade
longer fit,0.5236718928362015,Wiper blade
happy purchase,0.5224927982931001,Wiper blade
delivery happy,0.5224927982931001,Wiper blade
poslaju,0.5210429654968864,Wiper blade
giod quality,0.5204489896431522,Wiper blade
packed giod,0.5204489896431522,Wiper blade
giod,0.5204489896431522,Wiper blade
